Code,Species,CommonName,Family,Form,Syn
ABCO,Abies concolor,white fir,Pinaceae,TC,
ABGR,Abies grandis,grand fir,Pinaceae,TC,
ABLA,Abies lasiocarpa,silver fir,Pinaceae,TC,
ABMAS,Abies magnifica var. shastensis,Shasta fir,Pinaceae,TC,
ABPR,Abies procera,noble fir,Pinaceae,TC,
ACCI,Acer circinatum,vine maple,Sapindaceae,TB,
ACCO4,Aconitum columbianum,Columbia monkshood,Ranunculaceae,F,
ACGLD2,Acer glabrum var. douglasii,Douglas maple,Sapindaceae,TB,
ACLE8,Achnatherum lemmonii,Lemmon's needlegrass,Poaceae,GG,
ACMA3,Acer macrophyllum,big-leaf maple,Sapindaceae,TB,
ACMI2,Achillea millefolium,common yarrow,Asteraceae,F,
ACMO2,Achyrachaena mollis,blow wives,Asteracese,F,
ACOCC,Achnatherum occidentalis ssp. californicum,California needlegrass,Poaceae,GG,
ACOCP,Achnatherum occidentale ssp. pubescens,Elmer's needlegrass,Poaceae,GG,
ACPH2,Aconogonon phytolaccifolium,poke knotweed,Polygonaceae,F,Polygonum phytolaccifolium
ACRE3,Acroptilon repens,Russian knapweed,Asteraceae,F,Centaurea repens
ACRU2,Actaea rubra,baneberry,Ranunculaceae,F,
ACTR,Achlys triphylla,vanillaleaf,Berberidaceae,F,
ADAL,Adiantum aleuticum,maidenhair fern,Pteridaceae,FN,
ADBI,Adenocaulon bicolor,trail plant,Asteraceae,F,
ADJO,Adiantum jordanii,California maidenhair,Pteridaceae,FN,
AGST2,Agrostis stolonifera,spreading bentgrass,Poaceae,GG,Agrostis alba
AGAU2,Agoseris aurantiaca,orange agoseris,Asteraceae,F,
AGCA5,Agrostis capillaris,colonial bentgrass,Poaceae,GG,
AGEX,Agrostis exarata,spike bentgrass,Poaceae,GG,
AGGR,Agoseris grandiflora,large-flowered agoseris,Asteraceae,F,
AGHA2,Agrostis hallii,Hall's bentgrass,Poaceae,GG,
AGHE2,Agoseris heterophylla,woodland agoseris,Asteraceae,F,
AGOSE,Agoseris sp.,mtn. dandelion,Asteraceae,F,
AGPA8,Agrostis pallens,seashore bentgrass,Poaceae,GG,
AGRE,Agoseris retrorsa,spear-leaved agoseris,Asteraceae,F,
AGROS2,Agrostis sp.,bentgrass,Poaceae,GG,
PSSPS,Pseudoegneria spicata ssp. spicata,bluebunch wheatgrass,Poaceae,GG,
AGST2,Agrostis stolonifera,spreading bentgrass,Poaceae,GG,
AGCA5,Agrostis capillaris,colonial bentgrass,Poaceae,GG,Agrostis tenuis
AGUR,Agastache urticifolia,nettleleaf horsemint,Lamiaceae,F,
AGVA,Agrostis variabilis,bentgrass,Poaceae,GG,
AICA,Aira caryophyllea,silver hairgrass,Poaceae,GG,
ALAC4,Allium acuminatum,Hooker's onion,Amaryllidaceae,F,
ALAL3,Alyssum alyssoides,small alyssum,Brassicaceae,F,
ALAM2,Allium amplectens,paper onion,Amaryllidaceae,F,
ALBOB,Allium bolanderi var. bolanderi,Bolander's onion,Amaryllidaceae,F,
ALBOM,Allium bolanderi var. mirabile,McNeal's onion,Amaryllidaceae,F,
ALCA2,Allium campanulatum,Sierra onion,Amaryllidaceae,F,
ALFA3,Allium falcifolium,sickleleaf onion,Amaryllidaceae,F,
ALINT,Alnus incana ssp. tenuifolia,Sitka alder,Betulaceae,TB,
ALLIU,Allium sp.,onion species,Amaryllidaceae,F,
ALPA3,Allium parvum,small onion,Amaryllidaceae,F,
ALPR3,Alopecurus pratensis,meadow foxtail,Poaceae,GG,
ALRH2,Alnus rhombifolia,white alder,Betulaceae,TB,
ALRU2,Alnus rubra,red alder,Betulaceae,TB,
ALVA,Allium validum,swamp onion,Amaryllidaceae,F,
ALVI2,Allotropa virgata,candystick,Ericaceae,F,
AMAL2,Amelanchier alnifolia,western serviceberry,Rosaceae,S,
AMMEI2,Amsinckia menziesii var. intermedia,fireweed fiddleneck,Boraginaceae,F,Amsinckia intermedia
AMMEI2,Amsinckia menziesii var. intermedia,fireweed fiddleneck,Boraginaceae,F,Amsinckia intermedia
AMUT,Amelanchier utahensis,Utah serviceberry,Rosaceae,S,
ANAR,Anagallis arvensis,acarlet pimpernel,Primulaceae,F,
ANAR3,Angelica arguta,sharptooth angelica,Apiaceae,F,
ANAR5,Antennaria argentea,silver pussytoes,Asteraceae,F,
ANCA14,Anthriscus caucalis,bur-chervil,Apiaceae,F,
ANCO2,Anthemis cotula,dog fennel,Asteraceae,F,
ANDE3,Anemone deltoidea,threeleaf anemone,Ranunculaceae,F,
ANDI2,Antennaria dimorpha,low pussytoes,Asteraceae,F,
ANDR,Anemone drummondii,Drummond's anemone,Ranunculaceae,F,
ANFI3,Ancistrocarphus filagineus,false netstraw,Asteraceae,F,
ANGE2,Angelica genuflexa,reflexed angelica,Apiaceae,F,
ANHO,Antennaria howellii,field pussy-toes,Asteraceae,F,Antennaria neglecta
ANLY,Anemone lyallii,Lyall's anemone,Ranunculaceae,F,
ANMA,Anaphalis margaritacea,pearly-everlasting,Asteraceae,F,
ANMA26,Anisocarpus madioides,woodland tarweed,Asteraceae,F,Madia madioides
ANHO,Antennaria howellii,field pussy-toes,Asteraceae,F,Antennaria neglecta
ANOC3,Anticlea occidentale,western stenanthium,Melanthiaceae,F,Stenanthium occidentale
ANOD,Anthoxanthum odoratum,sweet vernal grass,Poaceae,GG,
ANOR,Anemone oregana,Oregon anemone,Ranunculaceae,F,
ANRA,Antennaria racemosa,raceme pussy-toes,Asteraceae,F,
ANRO2,Antennaria rosea,rosy everlasting,Asteraceae,F,
ANSU3,Antennaria suffrutescens,evergreen everlasting,Asteraceae,F,
ANTEN,Antennaria sp.,pusseytoes,Asteraceae,F,
APAN2,Apocynum androsaemifolium,spreading dogbane,Apocynaceae,F,
APCA,Apocynum cannabinum,indian hemp,Apocynaceae,F,
APOC,Aphanes occidentalis,western lady's mantle,Rosaceae,F,
AQFO,Aquilegia formosa,Sitka columbine,Ranunculaceae,F,
ARCA3,Arceuthobium campylopodum,western dwarf mistletoe,Santalaceae,F,Arceuthobium abietinum
ARAC4,Arabis aculeolata,Waldo rock cress,Brassicaceae,F,
BOBRB,Boechera breweri ssp. breweri,Brewers rock cress,Brassicaceae,F,Arabis breweri
ARCA2,Aralia californica,California spikenard,Araliaceae,F,
ARCA3,Arceuthobium campylopodum,western dwarf mistletoe,Santalaceae,F,Arceuthobium abietinum
ARCA5,Arctostaphylos canescens,hoary manzanita,Ericaceae,S,
ARCE,Arnica cernua,nodding arnica,Asteraceae,F,
ARCO3,Arctostaphylos columbiana,Columbia River manzanita,Ericaceae,S,
ERCOC13,Eremogone congesta var. congesta,dense-flowered sandwort,Caryophyllaceae,F,Arenaria congesta
ARCO9,Arnica cordifolia,heartleaf arnica,Asteraceae,F,
ARDI6,Arnica discoidea,discoid arnica,Asteraceae,F,
ARDIA,Aruncus dioicus var. acuminatus,goatsbeard,Rosaceae,F,Aruncus sylvester
ARDO,Arceuthobium douglasii,dwarf mistletoe,Santalaceae,F,
ARDO3,Artemisia douglasiana,mugwort,Asteraceae,F,
ARDR,Boechera stricta,Drummond's rock cress,Brasicaceae,F,Arabis drummondii
AREL3,Arrhenatherum elatius,tall or false oatgrass,Poaceae,GG,
ARGL,Turritis glabra,tower mustard,Brassicaceae,F,Arabis glabra
ARGL3,Arctostaphylos glandulosa,Eastwood's manzanita,Ericaceae,S,
ARHI5,Arctostaphylos hispidula,Gasquet manzanita,Ericaceae,S,
BOPI?,Boechera pinetorum,Holboell's rock cress,Brassicaceae,F,Arabis holboellii
BOKO?,Boechera koehleri ,Koehler's rock cress,Brassicaceae,F,Arabis koehleri stipitata
ARLA8,Arnica latifolia,mountain arnica,Asteraceae,F,
ARLO6,Arnica longifolia,long-leaved arnica,Asteraceae,F,
ARME,Arbutus menziesii,Pacific madrone,Ericaceae,F,
ARMI2,Arctium minus ,lesser burdock,Asteraceae,F,
ARMO4,Arnica mollis,soft arnica,Asteraceae,F,
ARMO,Arabis modesta,Rogue Canyon rock cress,Brassicaceae,F,
ARNE,Arctostaphylos nevadensis,pinemat manzanita,Ericaceae,S,
AROR,Arabis oregana,Oregon rock cress,Brasicaceae,F,
ARPA6,Arctostaphylos patula,greenleaf manzanita,Ericaceae,S,
BOHO?,Boechera howellii,flat-pod rock cress,Brassicaceae,F,Arabis platysperma
ARRE,Boechera rectissima,Recter's rock cress,Brassicaceae,F,Arabis rectissima
ARSE2,Arenaria serpyllifolia,thyme-leaved sandwort,Caryophyllaceae,F,
BOPA?,Boechera pauciflora,hairystem rock cress,Brassicaceae,F,Arabis sparsiflora
ARSP4,Arnica spathulata,spatulate arnica,Asteraceae,F,
BOSU?,Boechera subpinnatifida,ashy rock cress,Brassicaceae,F,Arabis subpinnatifida
ARDIA,Aruncus dioicus var. acuminatus,goatsbeard,Rosaceae,F,Aruncus sylvester
ARTH,Arabidopsis thaliana,mouseear cress,Brassicaceae,F,
ARUV,Arctostaphylos uva-ursi,kinnikinnik,Ericaceae,S,
ARVI4,Arctostaphylos viscida,whiteleaf manzanita,Ericaceae,S,
ASACA2,Astragalus accidens ssp. accidens,thicket milk-vetch,Fabaceae,F,
ASACH,Astragalus accidens ssp. hendersonii,Applegate milk-vetch,Fabaceae,F,
EUBR12,Eucephalus breweri,Brewer's aster,Asteraceae,F,Aster breweri
EUTO4,Eucephalus tomentellus,rayless aster,Asteraceae,F,Aster brickellioides
ASCA2,Asarum caudatum,western wild ginger,Aristolochiaceae,F,
ASCA50,Asarum caudatum var. nov,white-flowered ginger,Aristolochiaceae,F,
ASCO,Asclepias cordifolia,purple milkweed,Apocynaceae,F,
ASDE6,Aspidotis densa,rock fern,Ptericaceae,FN,
ASFA,Asclepias fascicularis,narrow-leaved milkweed,Apocynaceae,F,
ASFI,Astragalus filiipes,basalt milkvetch,Fabaceae,F,
